index,club
Sibińska Krystyna,PO-KO
Siemoniak Tomasz,PO-KO
Skowrońska Krystyna,PO-KO
Sowa Marek,PO-KO
Stasiński Michał,PO-KO
Stępień Elżbieta,PO-KO
Suchoń Mirosław,PO-KO
Suski Paweł,PO-KO
Szczerba Michał,PO-KO
Szłapka Adam,PO-KO
Szumilas Krystyna,PO-KO
Szydłowska Bożena,PO-KO
Szymański Tomasz,PO-KO
Śledzińska-Katarasińska Iwona,PO-KO
Święcicki Marcin,PO-KO
Tomczyk Cezary,PO-KO
Truskolaski Krzysztof,PO-KO
Tyszkiewicz Robert,PO-KO
Urbaniak Jarosław,PO-KO
Wasilewska Anna,PO-KO
Wielichowska Monika,PO-KO
Wilczyński Ryszard,PO-KO
Witczak Mariusz,PO-KO
Wójcik Marek,PO-KO
Wróblewska Kornelia,PO-KO
Zembaczyński Witold,PO-KO
Zembala Marian,PO-KO
Ziemniak Wojciech,PO-KO
Ziółkowski Szymon,PO-KO
Żmijan Stanisław,PO-KO
Bejda Paweł,PSL-UED
Biernacki Marek,PSL-UED
Jarubas Krystian,PSL-UED
Kamiński Michał,PSL-UED
Kasprzak Mieczysław,PSL-UED
Kłopotek Eugeniusz,PSL-UED
Kosiniak-Kamysz Władysław,PSL-UED
Kotowski Kazimierz,PSL-UED
Lubczyk Radosław,PSL-UED
Łopata Jan,PSL-UED
Maliszewski Mirosław,PSL-UED
Mazowiecki Michał Jan,PSL-UED
Niesiołowski Stefan,PSL-UED
Pasławska Urszula,PSL-UED
Paszyk Krzysztof,PSL-UED
Protasiewicz Jacek,PSL-UED
Sawicki Marek,PSL-UED
Sosnowski Zbigniew,PSL-UED
Tokarska Genowefa,PSL-UED
Tomczak Jacek,PSL-UED
Walkowski Piotr,PSL-UED
Zgorzelski Piotr,PSL-UED
Apel Piotr,Kukiz15
Brynkus Józef,Kukiz15
Chrobak Barbara,Kukiz15
Długi Grzegorz,Kukiz15
Grabowski Paweł,Kukiz15
Kobylarz Andrzej,Kukiz15
Kukiz Paweł,Kukiz15
Masłowski Maciej,Kukiz15
Mordak Robert,Kukiz15
Parda Błażej,Kukiz15
Romecki Stefan,Kukiz15
Rzepecki Łukasz,Kukiz15
Sachajko Jarosław,Kukiz15
Szramka Paweł,Kukiz15
Ścigaj Agnieszka,Kukiz15
Tyszka Stanisław,Kukiz15
Kulesza Jakub,Konfederacja
Skutecki Paweł,Konfederacja
Wilk Jacek,Konfederacja
Winnicki Robert,Konfederacja
Jaskóła Tomasz,UPR
Józwiak Bartosz,UPR
Kozłowski Jerzy,UPR
Zielińska Elżbieta,UPR
Mihułka Joanna,TERAZ!
Petru Ryszard,TERAZ!
